index,query
82,"in the event that law implementation arrests an individual who displays manifestations of covid-19, where would it be a good idea for them to take the individual for intake preparing, (for example, prison, medical clinic, or some other office)?"
83,what's the chance of catching covid-19 when staying at a room with someone who does have covid-19
84,what has school already done to protect their students?
85,have elective medical procedures continued? what are the necessary security conventions or social removing arrangements?
86,any information on social distancing?
87,i am living in virginia and where can i go for testing?
88,what are the ethical consideration for vaccines?
89,What steps should I take before and after I go out?
90,"What is the meaning of the terminology ""global pandemic"" when it is used to classify the COVID-19 virus?"
92,How do we protect babies and toddlers from potential coronavirus infections?
93,"If I have previously made doctor appointments for my child, should I still go or is it better to postpone them?"
94,Should I trust the knowledge that covid only infects the elderly and very young?
95,Are there any studies showing the efficacy of face masks for protection against viruses?
96,How does time spent on EFLMA leave affect the pay for the holidays?  Will I still get my floating holiday?
97,What are superspreaders known as?
98,Are there medications to treat damage to my lungs or other organs after a COVID-19 infection?
99,"I am not sure what pooled testing is, can you explain it?"
100,Is it safe to go back to work immediately after travelling to a country the CDC considers infectiously dangerous during COVID-19?
101,Are face masks required for anyone traveling?
102,Am I able to enjoy my wedding day? Is there still access to places that hold wedding ceremonies?
104,Are there significant changes with Phase 2 starting?
105,If COVID-19 is preventing me from returning to my home country what do I do?  I have a visa and am a Foreign National.
106,Where has New York published information about infection control and prevention during the COVID-19 pandemic?
108,"After reporting my injury, what do you think will happen?"
111,Is it possible that I'm going to get COVID-19?
112,What do I need to do to make sure my business is in compliance with the newest order from the health office?
113,Are there criteria you will use to determine who is transitioning to in-store purchases or delivery options?
114,"If an animal is sick with the virus, is it a possibility for that animal to give the sickness to people?"
115,What is the likelihood of getting sick from COVID by touching food packaging surfaces?
116,What is the standard protocol for maintaining the byproducts of deliberate forest scorching that were set ablaze foregoing the topographical suspension?
117,"If somebody wears a cloth face covering as protection, how is contact tracing impacted by that usage?"
118,Are childcare centers able to remain open during this time?
119,"If Viriginia has an outbreak, does it have enough medication for everyone?"
120,Are COVID-19 antibody tests accurate?
121,Should we social distance at work?
122,"And if any patient has the covid 19 disease and has used it, you should throw it away."
123,How do I keep myself and loved ones safe?
124,What is the total count of specific antibody types and what meaning do the the different antibodies have?
125,Should I worry about contracting Cornavirus from animals I come into contact with?
126,What does serology mean?
127,By whom is the risk of the workplace evaluated?
128,Are the measures taken to protect healthcare workers effective in preventing COVID-19 infections?
129,Do we need to wear mask since we have the office ventilation?
130,Is it possible to tend to children with COVID-19 without going to the hospital?
131,Will hand stitching be sufficient to make a wearable face mask?
132,"Practice being safe, washing hands, wearing a mask."
133,Filter through all the information to make sure you are getting the complete truth.
134,What is the safest way to stay in touch with everyone and be safe while doing it?
135,Is it true that one can control stress with the use of interactive website?
136,Tell concerns about the virus that your children may have.
137,Use plastic bags to seal your luggage
139,Practice diligent hand-washing following any contact with areas which might be spots of contamination from the virus.
140,Who should I contact about deferring my student loan payments?
141,"Many tenant advocacy groups not only contact local politicians or city councils about the rights of tenants, but also have funds set aside to assist those who find themselves unable to pay their rent for a short time."
142,"For precaution, an emergency contact list has to be created."
143,What will prevent me from spreading COVID-19 to others should I contract it and be asymptomatic?
144,Do not hesitate to obtain emergency medical attention if it so happens that your breathing becomes difficult.
145,It's important to reach out to your doctor right away if you feel worse.
146,"During isolation, you can learn something new and start a different hobby."
147,Adjusting to changes in your social life at college during Covid-19
148,On the sides of the outer layer fold it over by one quarter of an inch.
149,Staying fit and flexible make it easy to cope during rapidly changing times
150,"If health experts advise it or of someone is at high risk of becoming infected, one should stay away from large crowds of people"
151,Hands should be washed after and before handling a device.
152,"To keep in touch, send messages to your friends and bosses."
153,Anyone who begins feeling ill within a time frame of two weeks should immediately isolate themselves from other people.
154,Put a stuffed animal where children can see if from the outside to help cheer them up?
155,Families need to delineate important boundaries and also to make sure that everyone knows what they are.
156,Make sure your child ins informed about COVID-19.
157,How do I resolve conflict in my home?
158,"Be certain that there are no problems with your audio and video, and that your internet is up and running, before your interview time arrives."
159,you took turns to provide room service to the others in your house
160,Will I be able to collect additional assistance payments if my situation becomes more difficult?
161,Is it safe to use the same face covering for a second time?
162,Any good suggestion on cheering up my negative emotions?
163,where should i go get tested if i get covid-19?
164,is the chance of spreading out the disease by a person infected by covid-19 really high?
165,are masks reusable?
166,can covid-19 patients with no symptoms spread the virus?
167,recognize the emotions you are having.
168,"during this covid-19 pandemic, what rights am i given as a worker?"
169,how many times can i reuse a mask?
170,customers and relatives call us with concerns and questions. anything we can say to make them less stressed?
171,can i work from home?
172,what are possible things that schools can do to limit the spread of covid-19?
173,what can i do to avoid thinking about what my life would be if such pandemic didn't happen?
174,will cases be deducted from the current number of cases or will it be independently revealed?
175,how should i provide the forms to nih if i can't receive my original payback forms?
176,is it safe to use my masks over and over again?
177,our establishment's office of sponsored programs has been ordered to telecommute and they can't send in the first marked payback structures. by what means would it be a good idea for us to give nih the forms required?
178,How should I protect myself when buying food?
179,What's meant by COVID-19 being a global pandemic?
180,"Difference between social distancing, self-quarantining, and self-isolating"
181,Are babies at risk for coronavirus?
182,Is it advisable to keep my kid's doctor appointments?
183,Is it a myth that only elderly and youth can get sick?
184,How do we know that face coverings work?
185,DOes paid COVID-19 leave affect holiday pay?
186,Superspreaders are what?
187,Are there long-term consequences?
188,What is pooled testing?
189,When can I go back to work after returning from a country given a level 3 travel health notice related to COVID-19?
190,Do I have to wear a face mask if I tavel?
191,Are weddings still held? Can I have my wedding?
192,In what way could recipients submit details on how COVID-19 has delayed or affected the progress of activities on NIH-fund grant projects?
193,What is the difference between the Phases?
194,What happens if you have a temporary visa and can't leave due to COVID-19?
196,"My unemployment ended the beginning of July, I still do not have a job. Can I still get PEUC?"
197,What will happen if i report my injury?
198,"however many hours you work, is what you are to be paid for."
199,Can pro sports start their seasons in-person?
200,Am I at risk for contracting the COVID-19 virus?
201,What do I need to do to comply with the Health Order?
202,What will make you decide who to move to home delivery or in-store?
203,Can animals give COVID-19 to humans?
204,Can COVID 19 live on food packaging surfaces?
205,Can smoke from planned burns be handled from those set before the area's pause?
206,Is contact tracing affected by wearing masks?
207,Are childcare centers open?
208,Does Virginia have medication to treat COVID-19?
209,How accurate are antibody tests?
210,I need to protect others from the virus.
211,"If part of the respirator is compromised, you should throw it away."
212,My family and I need to destress
213,"What's meant by antibodies, and what number of kinds exist?"
214,Will Coronavirus be spread to me from my pets or animals?
215,Can you tell me what is serology?
216,Which person should do the workplace risk assessement?
217,Personal protective equipment needed to protect healthcare workers
218,Is the office ventilation going to help?
219,Can children be treated at home for COVID-19?
220,Can I make a mask by hand?
221,Try to stay positive.
222,Be skeptical of what you hear.
223,how can I stay in touch with everyone and still follow guidelines?
224,Does the use of interactive websites manage stress?
225,Answer any concerns your children may have about the virus.
226,Put plastic bags over your luggage
227,"When your recipe calls for buttermilk, use soured milk"
228,Wash your hands if you touch possible high-contact spots.
229,What company has my student loan?
231,As precaution an emergency contact list is created.
232,What can I do to not spread COVID-19?
233,Seek help if you have breathing problems.
234,"If your symptoms are getting worse, or you notice changes, call your doctor right away."
235,Pick up a new hobby.
236,Visit with the people you like online
237,Make a quarter inch fold on the sides.
238,Remain flexible to adapt rapidly to change
239,Stay away from crowds when told to by officials or if you're at risk.
240,Should one wash his or her hands before and after using one's device?
241,Make sure to keep in touch with colleagues and superiors.
242,"If you fall ill within two weeks, isolation is essential."
244,Create and discuss limitations with loved ones.
245,Talk to your kid about COVID-19.
246,Work through your problems with kindness and compassion
247,"Verify internet connectivity, audio and video prior to interviewing."
248,"Taking turns to bring ""room service"" to other people in your home"
249,Do I qualify for additional assistance because I have had a change in circumstances?
251,What can i do to focus on present
252,What can I do to avoid thinking about what the life might be if covid-19 hadn’t happened
253,can soap help kill germ?
256,Is it eaiser for the elder to catch the covid-19 than the younger?
257,Any recommendation on disinfecting products?
258,does eating takeout get you covid-19?
259,what should I eat to prevent getting coronavirus?
260,does pet get coronavirus?
262,should I always wear a mask?
263,"keep focus on what you are doing now, do not overthink it."
264,can i get paid if i am a volunteer in a public agency?
265,If a person gets infected coworkers will be told to work remotely to prevent further spread to protect workers and their families.
266,restrictions on COVID outbreak waves
267,"In a medical care scenario, when there's suspicion or certainty of a newly contracted COVID-19 infection, what kind of glove is suggested for patient treatment?"
268,What are the best gloves to use during pandemic?
269,"Self-quarantine means staying home away from others and monitoring your health. If you need to be around other people or animals in or outside of the home, wear a mask. This will help protect the people around you."
270,"If for some reason I happen to put myself inadvertently at risk of catching Covid-19, that is I am close to  a person who is known to have it, what should I expect to have happen. If tracing is required how will I know how to proceed?"
271,I work in a community for the elderly. What steps should we take to get ready for the coronavirus?
272,Planning for disease prevention and containment in residential living facilities
273,You would waste too much disinfection on sidewalks.
274,Will cleaning public streets and pathways avoid spreading coronavirus?
275,"If I have concerns that coronavirus has reached my immediate area in close proximity to my establishment, what could I do to verify whether or not this has occurred?"
276,"What sort of tracking and recording data monitors the path of Covid-19 spread in my locality, such that I might be apprised if it should register sharply with peak infections in the area where I work?"
277,Disinfect the workplace regularly if employees are required to report in to work.
278,"If the workers with illness came for working , it may create fear among other workers. So, they should be in leave and continue their assigned work in their home. Some privileges should be given"
279,Is COVID-19 eventually going to be less dangerous?
280,Predicted life of COVID-19
281,The city is going to turn to filth if street cleaning doesnâ€™t take place.
282,"Per CDC guidance on social distiancing, streets should still be cleaned."
283,At what point in time can people realistically expect to be able to discontinue the practice of maintaining social distance?
284,"Research suggest that we will have to social distance for several months.  After that we may have a period where we can relax, but then have to social distance again as the virus comes in waves."
285,Which COVID test were recently removed from the approved list by the FDA?
286,what is the indicator that i have covid 19?
287,What are the of symptoms  COVID-19 contamination
288,There are a myriad of symptoms that show up on a case to case basis. Wear a mask and practice social distancing.
289,What effects does the novel coronavirus have on the body?
290,"The subject of contact tracing has emerged and I find myself in need of deeper understanding. What exactly does it entail. Is it actually a necessary and useful procedure. If so, under what circumstances is it so and how do those that make it happen go about it?"
291,"In what way is contact tracing best explained in terms of its meaning, what is the methodology employed when it's used, and what makes it essential?"
292,they infected person must be  quarantined for  14 days
293,"If someone doesn't display any signs of coronavirus but has the disease, can they still infect others?"
294,"In order to preempt the possibility of having to furlough any members of my workforce, are there any steps I can take?"
295,What can I do if I want to keep all of my employees working?
296,"Is Covid-19 simply another way of referring to coronavirus or are the two labels somehow unrelated to one another and, if so, what is it that sets them apart?"
297,what is the unrelatedness between coronavirus and covid-19?
298,"Is there a possibility that food items like fruit, veggies, and produce could have the coronavirus on them?"
299,The safety of foods during covid-19 pandemic
300,"Where should I look for emergency notices relating to my IC, which is participating?"
302,There are hotlines to answer your questions regarding public charge. Donâ€™t be afraid to seek medical attention.
303,Can I get a COVID-19 test or treatment and still apply for a green card or citizenship?
304,"If COVID-19 has led to economic difficulties for people, what assistance is the department providing?"
305,What to do when job won't follow COVID safety rules?
306,Business eligibility to open extra registers
307,"If a business does its due dilligence, meeting every specification of cleanliness and best Covid-19 practices vis a vis social distancing requirements, can that business be allowed to open additional check out lines?"
308,My company needs to know whether it should take active steps to ensure it meets the changes to the Social Distancing Protocol rules.
309,It is not enough to enforce social distancing in your business arena. It is imperative to discover how these suggestions change from day to day and to always ensure that your own unique site is entire accordance with the latest strictures. Find out what they are and ask what you must do.
310,Who would the likely candidates be for COVID-19 screening and who would be the most probable people to undergo COVID-19 testing? In what way is testing not the same as screening?
311,Seek advice from a nurse concerning should you be screened or tested for COVID-19.
312,NASS reports will be delivered on its regular schedule. There may be instances where we will reevaluate the delivery of reports based on the health concerns of our employees.s
313,NASS reporting conditions are unchanged
314,Who should get an antibody test for COVID-19?
315,What will VDH learn about the number of people infected by COVID-19 through the Coronavirus Serology Project?
316,Visit the Virginia's Department of Education to get information.
317,"A chronology of when local children should begin attending classes again has been reported. However, I am not at all sure whether my youngster is appropriate for the Phase I, or the Phase II entry. Please advise."
318,Would it be best to prevent coronavirus transmission by wearing a face covering with a valve or vent?
319,Does the transferal of coronavirus fail to occur when masks with a valve or vent are worn consistently and determinedly?
320,Personal protective equipment use guidelines and recommendations for in-home services staff
321,A lot of our clients are older and/or immunosuppressed. Should we force all our employees who provide in-home services to wear medical protective equipment to protect these clients?
322,Is dexamethasone pre-approved by the World Health Organitzation?
323,Dexamethasone has not be prequalifed as a managment aid for COVID-19.
324,Can you catch Coronavirus from having contact with a person who is asymptomatic?
325,"The worldwide pandemic has put workers on a path to experiencing stresses that are not a part of their usual routines. As this is unavoidable, what sort of aids have been put in place to alleviate health risks and risks to the psychosocial well-being of workers that must continue their jobs in the atmosphere of the Covid-19 crisis?"
326,Accessibility of mental and psychosocial support for workers during the health crisis
327,Do light exercises with a positive frame of mind.
328,"I am experiencing significant morning discomfort in my rotator cuff region when I awake.  I am an older adult and I am on a quarantine. However, I  have forbidden myself to walk extensively due to pain and age concerns. I  am hoping that you can advise me."
329,"Before youngsters in the family seize the opportunity to begin requesting answers to their queries, it's advisable to directly broach the issue in question to prevent them from doing so."
330,Should I discuss the coronavirus with my child?
331,"Hi,Get me an extra test for covid 19."
332,You have to allow some time after you were exposed to COVID-19 for an accurate result.
333,REUSE  ABILITY OF MASK
334,"Should I keep my child home from school, or will that stunt her social development?"
335,When to stay inside?
336,I will cover my nose with my elbow when sneezing in the public
337,Coordinate with any contact tracers that interact with you to protect public health.
338,"People are being hired to keep track of anyone who may have come in contact with an infected person. If one of these contact tracers contacts you, please cooperate fully with them in order to keep yourself safe."
339,"Helping family members with meals and household tasks is important, as long as safety measures are followed."
340,How can I help someone with disabilities take care of chores during the pandemic?
341,"It's expected that you will think of Coronavirus questions that are not immediately answerable, or have local-specific angles. These should be turned over to the perusal of your specific vicinity's health department."
342,"In the event that any distinct healthcare-related questions arise, reach out to the nearest department of health."
343,so your internal clock helps you naturally feel more awake during daylight hours and more tired at night.
344,Reset circadian rhythm
345,"Unless one lives in the same residence as one's partner, it is advisable to forego any and all face-to-face interactions."
346,stay away from encounters unless you live with the person
347,Presenting Yourself to Potential Employers
348,Finding people who will help be get a job.
349,How do I attach the hair ties onto the fabric I previously folded?
350,Where you should place hair bands.
351,Do not share elevators when individuals living outside of your household are also using them.
352,"A necessary social distancing concern is tight spaces.  To that end, do not consider entering a confined space, like that of an elevator, unless you are sharing the space with members of your own family."
353,Try getting in 8 full hours of sleep and eat a balaced meal after graduating college.
354,"Devise a set schedule of activities and responsibilities which is attuned to your individual interests, preferences and needs."
355,Inquire with your healthcare provider to see if you are eligible for COVID-19 testing.
356,Can i come for a test
357,"You probably don't want your children worrying about the coronavirus, but it's ... {""smallUrl"":""https:\/\/www.wikihow.com\/images\/thumb\/1\/13\/Son-Talks-to-Dad ... By keeping your child informed with factual information, you can help them feel less anxious. ... Stay up-to-date so you can deal with new questions and concerns."
359,How can I keep my living space organized?
360,"Make sure your your work place look nice, it will help you on productivity and mood and ethic."
361,Can i send text messages through watsapp or facebook?
362,Is CE requirements discontinued?
363,Stick to usual daily routine.
364,"As a result of the Governor's emergency declaration on the coronavirus pandemic, have there been any UC rule changes?"
365,"When people are found positive, are those who have been in touch with them notified?"
366,"In the counties on the watch list, what did the State shutter."
367,When can we gather again?
368,How do people get tested to see if they have COVID-19?
369,Keep up with the United States COVID-19 website to update yourself on the newest scams.
370,How can i safely dispose of a covid infected body?
371,Would it be advisable for me to get a mask for my face?
372,What will become of my personal information during contact tracing due to the pandemic?
373,How can I make use of spoiled dairy?
374,What sanitary precautions do I need to take?
375,how can i tell if someone is sick?
376,Patients can expect certain benefits once their claim is submitted and approved.
377,What are the benefits offered under my NY health insurance policy?
378,Why is it important to report epidemiological death data for cases where someone who had COVID-19 died of other causes?
379,Can I camp overnight at any sites during phase 2?
380,Can vitamin and mineral supplements make a difference in COVID-19 prevention and treatment?
381,How do you define source control in the COVID-19 response setting?
382,Are gowns and coveralls the same thing?
383,It's important to keep your mind active and your body to even if your routine has changed because of social disantacing.
384,Check if your place has a lock on the eviction so you don't lose your house.
385,Is there any good advice to guard the police against COVID-19 canines being exposed?
386,Symptoms of COVID-19
387,Keep a space of 6ft (1.8m) between yourself and other individuals.
388,"When you visit the care facility, make sure you know the visiting policy."
389,Does the FDA have emergency use authorization in reference to SARS-CoV-2?
390,Will pregnant women have a COVID-19 test?
391,What should I do if customer interaction is needed for my work?
392,How will I have my prescriptions filled during the pandemic of COVID-19?
393,Can a local agency issue an order requiring people to wear face masks
394,I want to know how COVID moves through a population.
395,Can you help me get a mask - I can't afford one myself.
396,Are any importing measures restricted?
397,"If you want to do some deeper cleaning, mix up a 1% solution of bleach."
398,What are the longitudinal issues that arise out of catching COVID-19?
399,consider the layout of your bathroom
400,Have them speak with a hotline representative if they feel unwell
401,Should I be more worried about catching COVID than the average person?
402,Move around your routines and rituals so that you can balance family needs
403,Additional air filtration for masks
404,Is COVID-19 more or less serious than SARS or the flu?
405,How can adults engage children?
406,Are agricultural and other forms of coops among those who qualify for the Paycheck Protection Program?
407,What should I do if my child is being mistreated because of COVID-19 at school?
408,"With widespread virus transmission, what is being done to prevent the spread in nursing homes?"
409,Read books that teach lessons to your children
410,Is there something I can do regarding a person I manage who doesn't want to come in to work? They perform a critical service.
411,Should I alter preventative procedures for asthma patients to make sure they do not catch COVID-19?
412,What else could a law enforcement agent do to maintain their safety while performing a cause of death investigation?
413,How is the coronavirus different from a cold?
414,Keep following the health and safety policies in order to defend against spreading the coronavirus.
415,What is the epidemiology of COVID-19?
416,are funeral or memorial events okay to be conducted?
417,Do public health officials carry out the testing across nursing homes in the country?
418,What is the plan for delivering a COVID-19 vaccine to sick people?
419,Go to work if you have a critical task and are unable to work at home.
420,"Figure out how to set up your webcam, microphone and lecture portion of your class, and how to use them."
421,Is the huge event I was planning to attend still a go?
422,generally every 3 days to 7 days
423,What steps are being taken to protect people in nursing home?
424,Please shed some light on exactly what a confirmed case is.
425,What happens when a respirator expires?
426,3.1 Are there any limits on how far I can travel?
427,Outline any hazards going to and from schools.
428,Are COVID-19 victims permitted to be organ donors if they die from the disease?
429,How do I use a humidifer?
430,Is there anyone who should not use a face covering?
432,Let your child know that it probably isnt necessary to worry about things.
434,Are you open for take out?
435,Sterilize any surfaces used by others
436,Is it possible to get blood clots or strokes from covid-19?
437,"9. Are NIH Human Fetal Tissue (HFT) requirements lenient, in relation to the public health issue?"
438,Environmental services employees who clean and disinfect hospitalized COVID-19 patients' rooms need to wear what kind of personal protective equipment?
439,Make an effort not to tarry in the restaurant.
440,Will i be able to get PUA if I left my job ?
441,Would the spread of COVID-19 be limited if all schools switched to virtual learning?
442,Does the complications of the pandemic delay China's ability to implement it's Phase One Deal?
443,Reuse toilet paper and paper towel tubes as small animal toys
444,How should employers handle asymptomatic essential workers exposed to COVID-19?
445,Contact me if you are struggling with anything.
446,Abdominal Exercises during COVID.
447,How do you test and detect COVID-19?
448,Choose how and where you want to collect your food.
449,Who is responsible for cleaning cost during Covid-19?
450,What are the ways employers could use to secure the safety of workers from infection of Covid-19?
451,Can a DNR fisheries personnel check a tagged fish?
452,"When at home, may I play Minecraft and other such games?"
453,Is disinfectant a proper counter measure?
454,"My employer cut down on my hours, I'm still working. May I earn benefits?"
455,covid-19 testing information
456,Does minimizing close contact with others helps to avoid the spread of virus ?
457,Engage with a webinar to learn of new and contemporary topics.
458,Highlight those among their peers who don't take the coronavirus lightly.
459,Does WHO list dexamethasone as an essential medicine?
460,Would workers qualify for unemployment insurance if the Coronavirus (Covid-19) causes an employer to slow down or cease operations?
461,Should you show up at a medical center with coronavirus symptoms?
462,What are the best practices for patients to employ in order to effectively stay safe from COVID-19 infection?
463,What is the directive for cleaning protocols at the DND for COVID-19.  How often does everything need to be sanitized?
464,Is there a prospective date for gyms to re-open?
465,What is the recommended cleaning protocol for COVID-19?
466,Is it okay that my N95 mask has an exhalation valve?
467,The COVID-19 tracker is planning on including the following information in its future trackers:
468,"Does the CDC have any information that I can offer to my enrollees, staff and families?"
469,"If I hear about a COVID-19 case, what is that?"
470,Those who are responding first should be given top priority.
471,Does COVID-19 change the treatment for those with an asthma exacerbation?
472,What are the time frames when the CDC updates its covid 19 tracker?
473,What is the plan for communities to address an increase in deaths due to coronavirus?
474,Avoid exposure by changing clothes and washing hands when returning home.
475,Best practices for covid-19 testing and indications that a person may still be contagious.
476,Make it a point to consume smaller amounts of news information in order to protect your mental health.
477,Why do they call it the novel coronavirus?
478,Proper steps to isolate during covid
479,Can anyone get tested for COVID-19?
480,I'm not sure how to handle the fact that the place I work isn't utilizing any of the COVID-19 safety procedures.
481,What is the best way to talk with a team who is doubtful if we all feel the same way?
482,What can municipalities do to alter the potential budgetary impact of these actions?
483,What is the federal public health system recommending for cities to track?
484,"The United States doesn't make it a practice to spray disinfecting agents in public places, such as sidewalks, but other countries do. How come?"
485,"IF I was exposed to COVID-19, how long would it be before I started to show symptoms?"
486,What are some outstanding symptoms once you get covid19?
487,Is there a specific entity I can reach out to regarding questions I have about medical glove distribution or glove manufacturing?
488,"What is the need for masks during COVID-19, and how long is the demand anticipated to last?"
489,"Where does my risk stand with COVID-19, and what is the current situation with the virus?"
490,How does Georgia compare to other states with coronavirus?
491,Goal of wearing a mask in a pandemic
492,"What is the purpose of the COVID-19 antibody test, and what even is it?"
493,Is it ok for students to be a part of the medical front lines volunteering during COVID-19?
494,How do you treat covid19?
495,What should I gather to be fully prepared for a lockdown?
496,Has a vaccine been developed for people to use to prevent getting sick?
497,Are SBA loans exempt from the lending limit that is set in Michigan?
498,What should employees do to collect paid leave for Covid-19?
499,What are stretches I can do to combat at stiffness from working at home?
500,How do I care for packages shipped from China?
501,"If a COVID-19 case is suspected, what is done to confirm whether or not it's an actual case of infection?"
502,Are their resources for financial help for small businesses from its administrative department in the government?
503,How does the State intrepret the data to decide how we are going to mitigate the spread of COVID-19
504,The NIG grant will still pay my airline ticket and conference registration fee even it's within a year.
505,Is OLAW going to approve waivers for the review?
506,"If a student needs physical therapy for an injury, how will they be able to keep doing their physical therapy?"
507,Are there particular steps the pharmacy department can take to help mitigate the spread of COVID-19?
508,What are the rules regarding UC and working from home if your employer allows it.
509,What's the time frame for when I can expect to get my benefits sent to me?
510,Receiving allowance while been suspended.
511,Is social security disability still in effect if offices close?
512,When can I end my quarantine after a presumed or confirmed infection?
513,Meaning of outdoor facility.
514,What precautions are CDE taking to prevent COVID-19?
515,Where do the FDA approved at-home tests need to be sent?
516,What do i need to have to make sure I have the flu and not Covid 19?
517,What's the best product to use to disinfect my groceries?
518,"If a report time is missed, do we have to wait for the next report, or will it be released late?"
519,"I've never worn a mask before when dealing directly with COVID-19 patients, so I'm not sure why I'm supposed to be wearing one at this point."
520,Locating my health district or health region my city or country is in.
521,What are the guidelines for childcare facilities in Virginia especially for traveling?
522,A new swine flu circulating in China with pandemic potential. Poses a second pandemic threat.
523,What form of treatment is prescribed for COVID-19 and other coronaviruses?
524,Should I take my wife to the doctor if she catches covid?
525,Where are children the most likely to be infected with COVID-19?
526,How does the process of tracking those people have had contact with work?
527,Exercise is not a time to be wearing a mask.
528,What should I do to make sure I don't increase the infection rate and keep myself safe?
529,Usability of serology as part of its response by WHO
530,Are there plans available to ensure safety against covid 19?
531,What are the regulations for regular cleaning of food premises?
532,What should I do to clean my laptop computer without causing harm to it?
533,I a senior citizen and need help with random thrusts of pain in my knee joint. What could it be?
534,How do I know my doctor's diagnosis about COVID-19 is accurate and reliable?
535,How can I see that I have antibodies from the coronavirus if I never had any symptoms?
536,A microfiber cloth is most effective for disinfecting.
537,Compose an email to somebody in order to maintain a functional level of contact.
538,If you disinfect your hamper after it is used you can help keep it cleaner.
539,Give them a reminder to spend less time watching the news and to pay attention to responsible information providers only.
540,"When someone is experiencing a panic attack, stay calm and talk them through it."
541,"If you feel like you're having trouble staying afloat, get in touch with a professional credit specialist."
542,What are the high-touch areas on public transit that need sterilized?
543,Keeping a meal schedule allows your household time to connect.
